Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI
01-01-2017,61.25,100.46,39.37,0.25,6.08,69.11,110
02-01-2017,47.21,80.12,52,0.33,20.73,47.61,103
03-01-2017,65.45,132.09,58.68,0.31,22.99,50.37,103
04-01-2017,116.03,197.89,58.2,0.15,37.31,56.42,215
05-01-2017,96.21,162.27,57.6,0,25.88,45.66,276
06-01-2017,75.89,147.99,69.76,0,34.18,36.8,158
07-01-2017,63.83,104.25,37.49,0,7.83,58.44,137
08-01-2017,62.34,100.56,34.38,0,3.21,52.76,102
09-01-2017,51.67,80.46,30.24,0,3.56,60.3,96
10-01-2017,61.42,112.53,36.21,0,6.6,53.49,98
11-01-2017,82.34,168.93,49.71,0,29.68,49.64,163
12-01-2017,115.47,212.64,55.94,0,55.61,51.68,236
13-01-2017,108.41,166.25,49.01,0,16.8,43.54,281
14-01-2017,73.75,114.17,38.15,0,7.78,47.92,183
15-01-2017,81.72,120.38,39.02,0,3.77,42.95,164
16-01-2017,83.39,140.24,52.77,0,21.93,30.43,184
17-01-2017,64.14,116.31,49.49,0,5.32,32.75,133
18-01-2017,54.56,81.16,34.26,0,4.16,58.14,126
19-01-2017,67.09,109.2,38.78,0,3.76,66.33,104
20-01-2017,76.51,135.24,49.29,0,9,55.29,150
21-01-2017,69.51,137.83,63.8,0,7.19,48.08,156
22-01-2017,60.61,111.85,49.44,0,6.68,53.25,113
23-01-2017,83.79,150.97,52.58,0,13.58,53.54,156
24-01-2017,71.49,148.62,50.58,0,12.35,53.29,151
25-01-2017,76.94,144.81,47.79,0,9.19,58.67,149
26-01-2017,64.21,108.56,32.92,0,4.04,75.82,132
27-01-2017,56.14,100.4,41.9,0,7.88,51.86,100
28-01-2017,68.79,131.75,43.74,0,12.09,43.59,115
29-01-2017,85.73,157.28,53.72,0,34.99,49.54,199
30-01-2017,62.96,124.01,60.35,0,19.96,56.94,129
31-01-2017,54.98,115.66,46.64,0,12.33,53.74,110
01-02-2017,44.56,87.45,35.7,0,5.74,74.98,151
02-02-2017,52.36,96.1,37.44,0,3.48,68.59,102
03-02-2017,58.81,109.98,42.23,0,8.29,76.03,113
04-02-2017,68.29,141.85,52.03,0,13.7,82.95,149
05-02-2017,56.73,117.29,45.95,0,11.04,98.75,164
